"","Temp","Day","Symbiont","Pot","Replicate","cells.larvae","count.type","cells.larvae_log","cells.larvae_counts","cells.larvae_counts_round","Infect","PotCode"
"245","30","7","F1","3","A",0,"ddPCR",0,0,0,0,"303F1"
"264","27","3","F1","1","A",0,"ddPCR",0,0,0,0,"271F1"
"265","30","3","F1","2","A",4.16780233333333,"ddPCR",0.713305893689746,4.16780233333333,4,1,"302F1"
"266","31","3","F1","3","A",0,"ddPCR",0,0,0,0,"313F1"
"267","31","7","F1","3","A",4.19060545833333,"ddPCR",0.715218019096406,4.19060545833333,4,1,"313F1"
"268","27","14","F1","3","A",0,"ddPCR",0,0,0,0,"273F1"
"276","27","3","F1","1","B",4.22746841666667,"ddPCR",0.718291417576018,4.22746841666667,4,1,"271F1"
"277","30","3","F1","2","B",32.8329602916667,"ddPCR",1.52933999903212,32.8329602916667,33,1,"302F1"
"278","31","3","F1","3","B",18.3748888333333,"ddPCR",1.28723921934824,18.3748888333333,18,1,"313F1"
"279","31","7","F1","3","B",4.23002179166667,"ddPCR",0.718503498423846,4.23002179166667,4,1,"313F1"
"280","27","14","F1","3","B",8.65841345833333,"ddPCR",0.984905792784067,8.65841345833334,9,1,"273F1"
"288","27","3","F1","2","A",28.3479094583333,"ddPCR",1.46757717055652,28.3479094583333,28,1,"272F1"
"289","30","3","F1","3","A",0,"ddPCR",0,0,0,0,"303F1"
"290","30","7","F1","2","A",4.76080270833333,"ddPCR",0.760483002088297,4.76080270833333,5,1,"302F1"
"292","30","14","F1","1","A",30.946721625,"ddPCR",1.50442629744829,30.946721625,31,1,"301F1"
"300","27","3","F1","2","B",0,"ddPCR",0,0,0,0,"272F1"
"301","30","3","F1","3","B",11.721103125,"ddPCR",1.10452477328784,11.721103125,12,1,"303F1"
